id,trade_code,name,description,source_ref
10f49b5b-78cf-5f26-8fec-1f4ca306f92e,earthwork,Earthwork checklist,"Asset Homes in-process quality inspection checklist for earthwork and excavation, source reference AH/F/2201/01_R1 (revised 17 Dec 2024). Stages: before excavation, during excavation, after excavation.",AH/F/2201/01_R1
028d0670-842c-5bf0-937b-68e1b178c552,setting-out,Setting out checklist,"Asset Homes in-process quality inspection checklist for setting out, source reference AH/F/2201/02_R1 (revised 17 Dec 2024). Stages: before setting out, during setting out, after setting out.",AH/F/2201/02_R1
128689df-9e5e-51f5-b621-bdcaf09f5d2e,piling,Piling checklist,"Asset Homes in-process quality inspection checklist for piling, source reference AH/F/2201/03_R1 (revised 17 Dec 2024). Stages: before piling, during piling, after piling.",AH/F/2201/03_R1
3bdffcc8-8ece-5efe-8097-3626bda14234,backfilling,Backfilling checklist,"Asset Homes in-process quality inspection checklist for backfilling, source reference AH/F/2201/05_R1 (revised 17 Dec 2024). Stages: before, during, after.",AH/F/2201/05_R1
2d14c434-1224-5d5f-9620-d4678ecff900,anti-termite,Anti-termite treatment checklist,"Asset Homes in-process quality inspection checklist for anti-termite treatment, source reference AH/F/2201/06_R1 (revised 17 Dec 2024). Stages: pre-treatment checklist, during-treatment checklist, post-treatment checklist.",AH/F/2201/06_R1
55cdb0c2-f5f9-5fcd-a2c8-5b3d972333dc,shuttering-formwork,Shuttering and formwork checklist,"Asset Homes in-process quality inspection checklist for shuttering, source reference AH/F/2201/07_R1 (revised 17 Dec 2024). Stages: before shuttering, during shuttering, after shuttering.",AH/F/2201/07_R1
dab3b565-b360-5e4b-ac8f-241506758bef,reinforcement,Reinforcement checklist,"Asset Homes in-process quality inspection checklist for reinforcement, source reference AH/F/2201/08_R1 (revised 17 Dec 2024). Stages: before reinforcement placement, during reinforcement placement, after reinforcement placement.",AH/F/2201/08_R1
28f3acb4-a45b-53d3-860a-7f5981cf96fa,rcc,RCC pour card checklist,"Asset Homes in-process quality inspection checklist for concreting (pour card), source reference AH/F/2201/09_R1 (revised 17 Dec 2024). Stages: before concreting, during concreting, after concreting, post-completion inspection.",AH/F/2201/09_R1
68a8e7de-52a9-5b4b-97ce-52b77738cd35,masonry,Block and brick masonry checklist,"Asset Homes in-process quality inspection checklist for solid block and brick masonry, source reference AH/F/2201/10_R1 (revised 17 Dec 2024). Stages: before masonry work, during masonry work, after masonry work.",AH/F/2201/10_R1
4f2702a8-a465-5159-af37-297386c24076,plastering,Plastering checklist,"Asset Homes in-process quality inspection checklist for plastering, source reference AH/F/2201/11_R1 (revised 17 Dec 2024). Stages: before plastering work, surface preparation & plastering, after plastering work.",AH/F/2201/11_R1
8729afe8-5c5b-5316-9726-fcc4caf1905d,waterproofing,Waterproofing checklist,"Asset Homes in-process quality inspection checklist for waterproofing, source reference AH/F/2201/012_R1 (revised 17 Dec 2024). Stages: surface preparation, during waterproofing, after waterproofing.",AH/F/2201/012_R1
4161931e-4a6e-5e95-9e5e-0eaeee17736a,painting,Painting checklist,"Asset Homes in-process quality inspection checklist for painting, source reference AH/F/2201/13_R1 (revised 17 Dec 2024). Stages: before painting work, during painting work, after painting work.",AH/F/2201/13_R1
6dcf409f-e5f0-5ef0-b022-d3e5ed81b010,flooring,Flooring and dadoing checklist,"Asset Homes in-process quality inspection checklist for flooring and dadoing, source reference AH/F/2201/14_R1 (revised 17 Dec 2024). Stages: before tiling work, during tiling work, after tiling work.",AH/F/2201/14_R1
d6085279-18c9-5a67-8f98-5c8ed305ce52,doors-windows,Joinery works checklist,"Asset Homes in-process quality inspection checklist for joinery works (doors and windows), source reference AH/F/2201/15_R1 (revised 17 Dec 2024). Stages: specification and dimension, finishing and physical condition, installation and fixing, post-completion inspection.",AH/F/2201/15_R1
3cf59acf-89d3-5765-a63f-3b2180b4f022,material-inspection,Material inspection report checklist,"Asset Homes in-process quality inspection checklist for incoming material inspection, source reference AH/F/2201/18_R1 (revised 17 Dec 2024). Stages: on receipt at site.",AH/F/2201/18_R1
